,word,semcor cluster,dominant label,percentage dominance,no_semcor_clusters,pos labels
137, was ,6,AUX,1.0,9,['AUX' 'AUX' 'AUX']
138, was ,7,AUX,1.0,9,['AUX' 'AUX' 'AUX']
139, was ,8,AUX,1.0,9,['AUX' 'AUX' 'AUX']
140, water ,1,NOUN,1.0,3,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
141, water ,2,NOUN,1.0,3,['NOUN' 'NOUN']
142, well ,1,ADV,0.8636363636363636,6,"['ADV' 'ADV' 'ADV' 'ADV' 'INTJ' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV'
 'ADV' 'ADV' 'INTJ' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'ADV' 'ADJ']"
143, well ,2,ADV,0.8571428571428571,6,['ADV' 'ADV' 'ADV' 'ADJ' 'ADV' 'ADV' 'ADV']
144, well ,3,ADV,0.5,6,['ADV' 'INTJ' 'INTJ' 'ADV']
145, well ,4,ADV,1.0,6,['ADV' 'ADV']
146, well ,5,ADV,1.0,6,['ADV' 'ADV' 'ADV']
147, wish ,1,NOUN,1.0,4,['NOUN' 'NOUN' 'NOUN']
148, wish ,2,VERB,0.5,4,['VERB' 'NOUN']
149, work ,1,NOUN,0.7352941176470589,8,"['NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN'
 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'VERB' 'VERB' 'VERB' 'VERB']"
150, work ,2,NOUN,0.8636363636363636,8,"['VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'VERB' 'NOUN'
 'NOUN' 'NOUN']"
151, work ,3,NOUN,0.8333333333333334,8,['NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
152, work ,4,VERB,0.5,8,['VERB' 'NOUN' 'NOUN' 'VERB']
